TRIMESTRE;CLAVE;NOMBRE;CALLE;NUMERO;POBLACION;CODPOS;PROVINCIA;AMBITO;URL
31/12/2016;C0001;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;ALAMEDA BAJO;32;A CORUÑA;15003;15;N;
31/12/2017;C0001;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;ALAMEDA;32;A CORUÑA;15003;15;L;
31/12/2018;C0001;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;ALAMEDA;32;LA CORUÑA;15003;15;N;
31/12/2019;C0001;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;ALAMEDA;32;A CORUÑA;15003;15;N;
31/12/2020;C0001;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;ALAMEDA;32;A CORUÑA;15003;15;N;HTTPS://WWW.ASEGRUP.NET/
31/12/2021;C0001;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;CALLE XATIVA;23;VALENCIA;46002;46;N;HTTPS://WWW.ASEGRUP.NET/
31/12/2016;C0002;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;GOYA;22;MADRID;28001;28;N;
31/12/2017;C0002;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;GOYA;22;MADRID;28001;28;N;
31/12/2018;C0002;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;GOYA;22;MADRID;28001;28;N;
31/12/2019;C0002;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;GOYA;22;MADRID;28001;28;N;
31/12/2020;C0002;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;GOYA;22;MADRID;28001;28;N;HTTPS://WWW.ALIANZAESP.ES
31/12/2021;C0002;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;GOYA;22;MADRID;28001;28;N;HTTPS://WWW.ALIANZAESP.ES
31/12/2016;C0007;FAMILIAR DE SEGUROS ACTIVE, SOCIEDAD ANONIMA;ISABEL LA CATOLICA;2;VALENCIA;46004;46;N;
31/12/2017;C0007;FAMILIAR DE SEGUROS ACTIVE SA;ISABEL LA CATOLICA;2;VALENCIA;46004;46;N;
31/12/2018;C0007;FAMILIAR DE SEGUROS ACTIVE SA;CORTES VALENCIANAS;17;VALENCIA;46015;46;N;
31/12/2019;C0007;FAMILIAR DE SEGUROS ACTIVE SA;CORTES VALENCIANAS;17;VALENCIA;46015;46;N;
31/12/2020;C0007;FAMILIAR DE SEGUROS ACTIVE;CORTES VALENCIANAS;17;VALENCIA;46015;46;N;HTTPS://WWW.ACTIVESEGUROS.COM/
31/12/2021;C0007;FAMILIAR DE SEGUROS ACTIVE SA FAMILIAR DE SEGUROS ACTIVE SA;CORTES VALENCIANAS;17;VALENCIA;46015;46;N;HTTPS://WWW.ACTIVESEGUROS.COM/INICIO.HTML
31/12/2016;C0012;ETERNA ASEGURADORA,S.A.U. COMPAÑIA DE SEGUROS Y REASEGUROS;PRINCESA;23;MADRID;28008;28;N;
31/12/2017;C0012;ETERNA ASEGURADORA, S.A. COMPAÑIA DE SEGUROS Y REASEGUROS (SOCIEDAD UNIPERSONAL);PRINCESA;23;MADRID;28008;28;N;
31/12/2018;C0012;ETERNA ASEGURADORA,S.A. COMPAÑIA DE SEGUROS Y REASEGUROS (SOCIEDAD UNIPERSONAL);PRINCESA;23;MADRID;28008;28;N;
31/12/2019;C0012;ETERNA ASEGURADORA, S.A. COMPAÑÍA DE SEGUROS Y REASEGUROS (SOCIEDAD UNIPERSONAL);PRINCESA;23;MADRID;28008;28;N;
31/12/2020;C0012;ETERNA ASEGURADORA,S.A. COMPAÑIA DE SEGUROS Y REASEGUROS (SOCIEDAD UNIPERSONAL);PRINCESA;23;MADRID;28008;28;N;HTTPS://WWW.ETERNA-ASEGURADORA.ES/ES/SOBRE-ETERNA/INFORMACION-CORPORATIVA/DATOS-ECONOMICOS
31/12/2021;C0012;ETERNA ASEGURADORA,S.A. COMPAÑIA DE SEGUROS Y REASEGUROS (SOCIEDAD UNIPERSONAL);PRINCESA;23;MADRID;28008;28;N;HTTPS://WWW.ETERNA-ASEGURADORA.ES/ES/SOBRE-ETERNA/INFORMACION-CORPORATIVA/DATOS-ECONOMICOS
31/12/2016;C0016;AURA S.A. DE SEGUROS;PLAZA DE LA VILA;25;SANTA COLOMA DE GRAMENET;8922;8;N;
