TRIMESTRE;CLAVE;N_EMP_CIERRE;N_MUJERES;N_HOMBRES;delegacion
31/12/2016;C0001;37;7;30;724
31/12/2017;C0001;47;18;29;724
31/12/2018;C0001;43;15;28;724
31/12/2019;C0001;42;17;25;724
31/12/2020;C0001;33;12;21;724
31/12/2021;C0001;12;5;7;724
31/12/2016;C0002;41;19;22;724
31/12/2017;C0002;39;20;19;724
31/12/2018;C0002;42;24;18;724
31/12/2019;C0002;0;22;19;724
31/12/2020;C0002;39;20;19;724
31/12/2021;C0002;37;17;20;724
31/12/2016;C0007;24;16;8;724
31/12/2017;C0007;28;0;0;724
31/12/2018;C0007;32;0;0;724
31/12/2019;C0007;38;19;19;724
31/12/2020;C0007;33;16;17;724
31/12/2021;C0007;33;16;17;724
31/12/2016;C0012;42;14;28;724
31/12/2017;C0012;43;16;27;724
31/12/2018;C0012;45;17;28;724
31/12/2019;C0012;44;17;27;724
31/12/2020;C0012;44;18;26;724
31/12/2021;C0012;43;26;17;724
31/12/2016;C0016;70;40;30;724
31/12/2017;C0016;86;39;47;724
31/12/2018;C0016;95;45;50;724
31/12/2019;C0016;99;97;47;724
31/12/2018;C0026;354;155;199;724
31/12/2019;C0026;348;167;181;724
31/12/2020;C0026;344;162;182;724
31/12/2021;C0026;332;158;174;724
31/12/2016;C0031;1495;803;692;724
31/12/2017;C0031;1499;808;691;724
31/12/2018;C0031;1593;854;739;724
31/12/2019;C0031;1621;862;759;724
31/12/2020;C0031;1621;862;759;724
31/12/2021;C0031;1576;826;750;724
31/12/2016;C0032;13;8;5;724
31/12/2017;C0032;13;8;5;724
31/12/2018;C0032;13;8;5;724
31/12/2019;C0032;15;9;6;724
31/12/2020;C0032;14;9;5;724
31/12/2021;C0032;15;10;5;724
31/12/2016;C0037;32;16;26;724
31/12/2017;C0037;35;13;22;724
31/12/2018;C0037;38;18;22;724
31/12/2019;C0037;39;18;21;724
31/12/2020;C0037;40;18;22;724
31/12/2021;C0037;40;21;19;724
31/12/2016;C0039;37;16;21;724
31/12/2017;C0039;51;28;23;724
31/12/2018;C0039;117;61;56;724
31/12/2019;C0039;126;65;61;724
31/12/2020;C0039;127;68;59;724
31/12/2021;C0039;137;75;62;724
31/12/2016;C0046;2891;0;0;724
31/12/2017;C0046;2891;0;0;724
31/12/2018;C0046;2698;1416;1282;724
31/12/2019;C0046;2579;1182;1397;724
31/12/2020;C0046;2571;1181;1390;724
31/12/2021;C0046;2565;1254;1311;724
31/12/2016;C0058;7300;3711;3589;724
31/12/2017;C0058;7365;3842;3523;724
31/12/2018;C0058;7528;3981;3547;724
31/12/2019;C0058;7551;4003;3548;724
31/12/2020;C0058;7483;421;3462;724
31/12/2021;C0058;7432;4072;3360;724
31/12/2016;C0069;108;48;60;724
31/12/2017;C0069;109;49;60;724
31/12/2018;C0069;108;57;51;724
31/12/2019;C0069;109;59;50;724
31/12/2020;C0069;111;58;53;724
31/12/2021;C0069;104;58;49;724
31/12/2016;C0072;969;293;676;724
31/12/2017;C0072;936;289;647;724
31/12/2018;C0072;929;296;633;724
31/12/2019;C0072;930;306;624;724
31/12/2020;C0072;31;18;13;724
31/12/2021;C0072;939;327;612;724
31/12/2016;C0075;142;77;65;724
31/12/2017;C0075;150;69;81;724
31/12/2018;C0075;156;87;69;724
31/12/2019;C0075;145;73;72;724
31/12/2020;C0075;148;71;77;724
31/12/2021;C0075;143;67;76;724
31/12/2016;C0089;178;87;97;724
31/12/2017;C0089;170;80;90;724
