TRIMESTRE;CLAVE;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT55;PT56;PT57;PT58;PT59;PT60;PT61;PT62;PT63;PT64;PT65;PT66;PT67;PT68;PT69;PT70;PT71;PT72;PT73;PT74;PT75;PT76;PT77;PT78;PT79;PT80;PT81;PT82;PT83;PT84;PT85;PT86;PT87;PT88;moneda;delegacion;TipoDec
31/12/2016;C0001;6157716,08;0;0;0;0;0;0;0;0;0;0;0;3583442,27;962941,39;2620500,88;0;0;3523542,55;0;0;0;0;0;0;0;3466697,28;3116105,18;350592,1;0;0;0;56845,27;0;56845,27;7416871,75;0;5915629,97;2810876,12;0;3104753,85;0;2509670,08;2509670,08;0;819850,6;0;0;819850,6;0;0;0;0;1242695,89;535413,1;707282,79;2119935,5;0;0;2119935,5;0;0;33289354,69;;;;;;;;;;;;;;;;;;;;;;;;;;;E;724;16
31/12/2017;C0001;14364486,91;0;0;0;0;0;0;0;0;0;0;0;3151376,4;1018465,77;2132910,63;0;0;8235763,76;0;0;0;0;0;0;0;7668473,12;7033321,22;635151,9;451514,27;0;0;115776,37;0;115776,37;0;0;5790027,14;1797313,49;0;3992713,65;0;2453874,08;2453874,08;0;645548,76;0;0;645548,76;3000;3000;0;0;1581850,26;604494,34;977355,92;2051163,41;0;0;2051163,39;0,02;0;38277090,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2018;C0001;1814125,64;0;0;0;0;0;0;0;0;0;0;0;13137328,81;406651,84;12730676,97;0;0;5221882,85;0;0;0;0;0;0;0;4785817,83;4003864,53;781953,3;397440,6;485,33;0;38139,09;0;38139,09;0;0;1969540,52;838042,27;0;1131498,25;0;2391267,1;2391267,1;0;511160,01;0;0;511160,01;3000;3000;0;0;112304,91;10875,2;101429,71;1748105,97;0;0;1748105,97;0;0;26908715,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2019;C0001;6505668,69;0;0;0;0;0;0;0;0;0;0;0;12835329,82;392740,03;12442589,79;0;0;3460261,65;0;0;0;0;0;0;0;3033886,78;2200574,29;833312,49;363222,91;1113,06;0;62038,9;0;62038,9;0;0;3684905,81;587825,05;0;3097080,76;0;2336702,08;2336702,08;0;276634;0;0;276634;0;0;0;0;106617,84;2982,86;103634,98;1099833,15;0;0;1099833,15;0;0;30305953,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2020;C0001;5240388,87;0;0;0;0;0;0;0;0;0;0;0;14954832,72;2256672,73;12698159,99;0;0;6563450,99;0;0;0;0;0;0;0;5659933,76;3906947,5;1752986,26;604748,15;0;0;298769,08;44647,69;254121,39;0;0;8799955,87;2827048,27;0;5972907,6;0;2267846,86;2267846,86;0;134172,17;0;0;134172,17;0;0;0;0;51214,6;0;51214,6;1864725,66;0;0;1864725,66;0;537402,73;40413990,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2016;C0002;21696426,38;3596364,27;3596364,27;0;0;0;0;0;0;0;0;0;4334637,73;4334637,73;0;0;0;15508252,07;0;0;0;0;0;11987792,49;0;1728904,2;369129,28;1359774,92;58471,96;0;0;1733083,42;862,81;1732220,61;40820500,2;0;35362,37;33436,05;0;1926,32;0;3721967,23;2872154,31;849812,92;6209,79;0;0;6209,79;0;0;0;0;530272,61;230235,17;300037,44;13671,51;0;0;12421,08;1250,43;0;90263664,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2017;C0002;27990736,48;1673297,4;1673297,4;0;0;0;0;0;0;0;0;0;2652303,11;2652303,11;0;0;0;8792607,73;0;0;0;0;0;2983669,84;0;4161488,8;269511,28;3891977,52;58093,9;0;0;1589355,19;2007,17;1587348,02;50536579,47;0;25103,1;23312,42;0;1790,68;0;3628691,85;2794267,64;834424,21;1692,46;0;0;1692,46;0;0;0;0;41996,21;4501,22;37494,99;9194,64;0;0;9194,64;0;0;95352202,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2018;C0002;38105967,61;65581,81;65581,81;0;0;0;0;0;0;0;0;0;3134053,05;3134053,05;0;0;0;7595842,43;0;0;0;0;0;682194,13;0;5270694,39;223201,21;5047493,18;58093,9;0;0;1584860,01;637,5;1584222,51;49258012,75;0;30724,99;20561,23;0;10163,76;0;3546570,95;2727535,48;819035,47;0;0;0;0;0;0;0;0;85872,85;54755,72;31117,13;8083,53;0;0;8083,53;0;0;101830709,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2019;C0002;38512735,69;71859,7;71859,7;0;0;0;0;0;0;0;0;0;2844371,19;2844371,19;0;0;0;7024915,77;0;0;0;0;0;605621,03;0;4822327,25;183020,02;4639307,23;58093,9;0;0;1538873,59;1713,24;1537160,35;54435614,41;0;23703,83;19421,48;0;4282,35;0;3546171,24;2752660,03;793511,21;0;0;0;0;0;0;0;0;83183,73;51536,48;31647,25;7531,98;0;0;7531,98;0;0;106550087,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
31/12/2020;C0002;45475953,21;46348,35;46348,35;0;0;0;0;0;0;0;0;0;3358312,38;3358312,38;0;0;0;6610242,69;0;0;0;0;0;605582,4;0;4397906,55;154811,8;4243094,75;58093,9;0;0;1548659,84;3931,73;1544728,11;53833375,39;0;19422,45;17950,53;0;1471,92;0;3453465,77;2675222,28;778243,49;0;0;0;0;0;0;0;0;25360,47;1911,16;23449,31;7038,43;0;0;7038,43;0;0;112829519,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;724;16
