TRIMESTRE;CLAVE;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT55;PT56;PT57;PT58;PT59;PT60;PT61;PT62;PT63;PT64;PT65;PT66;PT67;PT68;PT69;PT70;PT71;MONEDA;delegacion;TipoDec
31/12/2016;C0001;0;0;4497343,73;0;25166,55;747118,79;257,25;0;746861,54;2863551,77;0;0;2099,81;0;859406,81;284809,37;0;574597,44;0;16756623,84;8433416,98;1341403,73;0;0;0;0;0;6871774,17;0;110028,96;540405,33;0;0;65405,33;475000;117884,82;0;117884,82;1275867,01;1275867,01;0;0;0;0;23188124,73;10290829,17;9177920;9177920;0;525360,1;-490350,5;17640,68;331363,72;-839354,9;0;-1022895,36;1896,04;1024791,4;0;2331797,45;231002,52;0;-194439;-194439;0;0;0;0;4839,8;10101229,97;33289354,7;;724;16
31/12/2017;C0001;0;0;4005472,25;0;0;760126,7;160288,57;0;599838,13;2000000;0;0;8359,77;0;1236985,78;321366,16;0;915619,62;0;24053296,23;12263089,03;1394370,88;0;0;0;0;0;10283181,43;0;112654,89;570756,53;43410,47;0;52346,06;475000;188258,03;0;188258,03;161252,46;161252,46;0;0;0;0;28979035,5;9320011,09;9177920;9177920;0;525360,1;818804,82;306587,29;564515,52;-52297,99;0;1896,04;1896,04;0;0;-970818,07;233151,8;0;-24168,21;-24168,21;0;0;0;0;2212,34;9298055,22;38277090,72;;724;16
31/12/2018;C0001;0;0;1362534,02;0;0;833685,28;0;259520,54;574164,74;171598,45;0;0;6275,56;0;350974,73;212840,93;0;138133,8;0;19292672,21;9003696,06;1221731,84;0;0;0;0;0;8988730,2;0;78514,11;1807,8;0;0;0;1807,8;114439,55;0;114439,55;71095,6;0;0;0;71095,6;0;20842549,18;6229088,83;9177920;9177920;0;525360,1;968092,45;306587,29;761871,87;-100366,71;0;-1202073,83;1896,04;1203969,87;0;-3042853,54;197356,35;0;-162922,2;-162922,2;0;0;0;0;0;6066166,63;26908715,81;;724;16
31/12/2019;C0001;0;0;1399213,69;0;0;769528,88;133,1;373803,95;395591,83;424122,95;0;0;2417,83;0;203144,03;117587,98;0;85556,05;0;19670453,35;6781768,47;566324,97;0;0;0;0;0;12246881,42;0;75478,49;67078,17;0;63611,69;516,28;2950,2;180399,53;81,69;180317,84;136115,05;136115,05;0;0;0;0;21453259,79;9039593,33;12177920;12177920;0;525360,1;960152,69;306587,29;995090,47;-341525,07;0;-4442283,72;1896,04;4444179,76;0;51662,86;233218,6;0;-186900,08;-186900,08;0;0;0;0;0;8852693,25;30305953,04;;724;16
31/12/2020;C0001;0;0;4230320,33;0;0;2547606,3;237692,29;1379713,45;930200,56;1180917,54;0;0;78,56;0;501717,93;181445,55;161217,48;159054,9;0;25528455,46;9194833,45;279874,88;0;0;0;0;0;16051967,53;0;1779,6;63931,12;0;60980,92;0;2950,2;283056,28;0;283056,28;820012,77;820012,77;0;0;0;537402,73;31463178,69;8819190,87;12177920;12177920;0;525360,1;1082070;311753,58;1248010,48;-477694,06;0;-4629005,75;1896,04;4630901,79;0;-84233,47;252920,01;0;131620,91;131620,91;0;0;0;0;0;8950811,78;40413990,47;;724;16
31/12/2021;C0001;0;0;6067717,63;0;0;2256390,34;18616,76;179115,81;2058657,77;2528854,45;0;0;0;0;1282472,84;223607,03;966162,68;92703,13;0;30973586,19;9593103,94;151040,68;0;0;0;0;0;21229441,57;0;0;678477,18;0;21623,97;619985,23;36867,98;324216,68;0;324216,68;1083756,06;1083756,06;0;0;0;0;39127753,74;12718237,43;18177920;18177920;0;525360,1;1346346,88;311753,58;1512287,36;-477694,06;0;-4966159,23;1896,04;4968055,27;0;-2100953,44;264276,88;0;-54649,04;-54649,04;0;0;0;0;0;12663588,39;51791342,13;;724;16
31/12/2018;C0002;0;0;762101,41;0;13663,94;295865,52;0;63808,24;232057,28;3268,73;0;0;0;0;449303,22;368335,43;0;80967,79;0;87745207,69;39287,14;0;0;0;0;0;0;1507259,99;0;86198660,56;1279486,64;0;115816,35;0;1163670,29;89078,17;9806,82;79271,35;75190,38;75190,38;0;0;0;0;89951064,29;11885939,82;3326793,33;6600000;3273206,67;0;11734501,83;809863,97;0;10924637,86;0;-4442555,87;0;4442555,87;0;1267200,53;0;0;-6294,14;-6294,14;0;0;0;0;0;11879645,68;101830709,97;;724;16
31/12/2019;C0002;0;0;580533,2;0;12896,62;134779,67;0;47016,66;87763,01;2698,07;0;0;0;0;430158,84;334744,43;0;95414,41;0;90787542,02;37023,14;0;0;0;0;0;0;1108661,47;0;89641857,41;1667893,65;0;124160,52;0;1543733,13;166740,71;90234,37;76506,34;0;0;0;0;0;0;93202709,58;13349525,23;3326793,33;6600000;3273206,67;0;11861221,88;936584,02;0;10924637,86;0;-3302075,39;0;3302075,39;0;1463585,41;0;0;-2147,27;-2147,27;0;0;0;0;0;13347377,96;106550087,54;;724;16
31/12/2020;C0002;0;0;656219,94;0;12143,87;247265,66;0;161775,35;85490,31;4663,84;0;0;0;0;392146,57;328222,67;0;63923,9;0;94109029,68;34591,09;0;0;0;0;0;0;814002,59;0;93260436;2004817,07;0;77336,6;0;1927480,47;427239,08;353324,11;73914,97;0;0;0;0;0;0;97197305,77;15644884,74;3326793,33;6600000;3273206,67;0;12007580,42;1082942,56;0;10924637,86;0;-1984848,52;0;1984848,52;0;2295359,51;0;0;-12671,37;-12671,37;0;0;0;0;0;15632213,37;112829519,14;;724;16
31/12/2021;C0002;0;0;795003,78;0;10914,93;256409,87;0;222889,7;33520,17;7836,8;0;0;0;0;519842,18;453621,06;0;66221,12;0;100361674,39;31439,81;0;0;0;0;0;0;2060160,79;0;98270073,79;2318920,08;0;77766,69;0;2241153,39;102226,92;14861,68;87365,24;0;0;0;0;0;0;103577825,17;15501238,81;3326793,33;6600000;3273206,67;0;12318091,41;1312478,51;0;11005612,9;0;0;0;0;0;-143645,93;0;0;17913,26;17913,26;0;0;0;0;0;15519152,07;119096977,24;;724;16
31/12/2016;C0007;0;0;558254,34;0;0;438528,66;328706,9;0;109821,76;62434,34;0;0;0;0;57291,34;79756,66;0;-22465,32;0;8447676,98;0;0;0;0;0;0;0;241535,68;0;8206141,3;0;0;0;0;0;417290,15;0;417290,15;0;0;0;0;0;0;9423221,47;3923799,18;4000405,5;4000405,5;0;0;926081,47;235381,51;0;690699,96;674407,6;-464170,2;0;464170,2;0;135890,01;0;0;214028,72;214028,72;0;0;0;0;0;4137827,9;13561049,37;;724;16
31/12/2017;C0007;0;0;879555;0;0;488766;328707;0;160059;68315;0;0;0;0;322474;90602;0;231872;0;8955852;0;0;0;0;0;0;0;61770;0;8894082;0;0;0;0;0;229155;0;229155;0;0;0;0;0;0;10064562;3957859;4000406;4000406;0;0;941584;248970;0;692614;674408;-341869;0;341869;0;32146;0;0;-31142;-31142;0;0;0;0;0;3926717;13991279;;724;16
31/12/2018;C0007;0;0;893154,14;0;0;491509,26;328706,9;0;162802,36;71995,77;0;0;0;0;329649,11;106528,95;0;223120,16;0;9705196,67;0;0;0;0;0;0;0;85769,44;0;9619427,23;0;0;0;0;0;277076,57;0;277076,57;0;0;0;0;0;0;10875427,38;4113046,22;4000405,5;4000405,5;0;0;946713,07;252184,21;0;694528,86;718220;-312938,12;0;312938,12;0;197085,77;0;0;-276718,6;-276718,6;0;0;0;0;0;3836327,62;14711755;;724;16
31/12/2019;C0007;0;0;973836,74;0;0;477952,73;348706,9;0;129245,83;143522,3;0;0;0;0;352361,71;114837,08;0;237524,63;0;10546693,67;0;0;0;0;0;0;0;125766,44;0;10420927,23;0;0;0;0;0;409859,66;0;409859,66;0;0;0;0;0;0;11930390,07;4338759,09;4000405,5;4000405,5;0;0;968363,77;271892,78;0;696470,99;718219,6;-135560,17;0;135560,17;0;223769,59;0;0;-11675,97;-11675,97;0;0;0;0;0;4327083,12;16257473,19;;724;16
31/12/2020;C0007;0;0;906681,06;0;0;392882,89;348706,9;0;44175,99;151799,95;0;0;0;0;361998,22;131985,68;0;230012,54;0;11804384,9;0;0;0;0;0;0;0;265762,44;0;11538622,46;97388,89;0;0;0;97388,89;250772,44;0;250772,44;0;0;0;0;0;0;13059227,29;4407661,13;4000405,5;4000405,5;0;0;1058487,64;294269,73;0;764217,91;718219,6;0;0;0;0;66987,59;0;0;-178562,69;-178562,69;0;0;0;0;0;4229098,44;17288325,73;;724;16
31/12/2021;C0007;0;0;456904,08;0;0;109516,61;0;0;109516,61;62712,66;0;0;0;0;284674,81;152515,3;0;132159,51;0;13116680,54;433043,07;0;0;0;0;0;0;336294,44;0;12347343,03;145323,42;0;0;0;145323,42;213906,1;0;213906,1;0;0;0;0;0;0;13932814,14;4086598,32;4000405,5;4000405,5;0;0;1127389,68;300968,49;0;826421,19;718219,6;0;0;0;0;-322977,26;0;0;-21580,82;-21580,82;0;0;0;0;0;4065017,5;17997831,64;;724;16
31/12/2016;C0012;0;0;2018424,18;0;1061445,4;296430,83;0;246563,11;49867,72;134549,68;174,87;0;0;0;525823,4;216965,02;0;308858,38;0;23882973,79;521339,16;84531,08;0;0;0;0;0;3358594,33;0;19918509,22;311528,03;0;298784,49;12743,54;0;1108491,41;357419,82;751071,59;178900,57;159319,61;0;0;19580,96;0;27500317,98;35223437,6;9044000;9044000;0;0;24874715,67;1808800;185042,38;22880873,29;0;0;0;0;0;1304721,93;0;0;1375290,1;1375290,1;0;0;0;0;0;36598727,7;64099045,68;;724;16
31/12/2017;C0012;0;0;1512505,94;0;726450,76;226115,41;0;173964,12;52151,29;197290;111,13;0;0;0;362538,64;202364,49;0;160174,15;0;25735971,11;564530,01;132209,27;0;0;0;0;0;2599771,83;0;22439460;308852,77;0;308802,66;50,11;0;1348664,49;484713,42;863951,07;181526,1;156632,6;24893,5;0;0;0;29087520,41;37802339,81;9044000;9044000;0;0;26179437,6;1808800;185042,38;24185595,22;0;0;0;0;0;2578902,21;0;0;1367827,46;1367827,46;0;0;0;0;0;39170167,27;68257687,68;;724;16
31/12/2018;C0012;0;0;1616077,88;0;811463,07;142350,54;0;93694,67;48655,87;10241,1;0;0;0;0;652023,17;210141,23;0;441881,94;0;27214365,13;637170,4;83415,26;0;0;0;0;0;2766497,02;0;23727282,45;236538,12;0;141538,12;0;95000;617520,13;0;617520,13;254550,43;197279,64;0;0;57270,79;0;29939051,69;39293831,33;9044000;9044000;0;0;28758062,04;1808800;185042,38;26764219,66;0;0;0;0;0;1491769,29;0;0;-336842,42;-336842,42;0;0;0;0;0;38956988,91;68896040,6;;724;16
31/12/2019;C0012;0;0;1415045,68;0;866269,63;53181,35;0;0;53181,35;29178,49;0;0;0;0;466416,21;198616,58;0;267799,63;0;29686956,74;724516,74;12207,65;0;0;0;0;0;2614757,28;0;26335475,07;306191,46;0;169311,46;0;136880;473051,98;11456,51;461595,47;235837,21;217611,44;0;0;18225,77;0;32117083,07;40327853,19;9044000;9044000;0;0;30344585,36;1808800;185042,38;28350742,98;0;0;0;0;0;939267,83;0;0;806030,16;806030,16;0;0;0;0;0;41133883,35;73250966,42;;724;16
31/12/2020;C0012;0;0;1562915,98;0;1019780,13;51592,01;0;0;51592,01;18867,26;0;0;0;0;472676,58;209095,5;0;263581,08;0;31886091,39;774912,19;0;0;0;0;0;0;2971537,87;0;28139641,33;290494,14;0;176379,14;0;114115;438238,89;0,01;438238,88;178862,33;173477,77;0;0;5384,56;0;34356602,73;40686201,88;9044000;9044000;0;0;31277473,72;1808800;185042,38;29283631,34;0;0;0;0;0;364728,16;0;0;716813,62;716813,62;0;0;0;0;0;41403015,5;75759618,23;;724;16
31/12/2021;C0012;0;0;1552460,4;0;989210,04;52994,36;0;0;52994,36;20091,9;0;0;0;0;490164,1;229242,75;0;260921,35;0;33862918,22;800770,65;0;0;0;0;0;0;2718774,82;0;30343372,75;305223,16;34945,16;122602;0;147676;426459,16;96,94;426362,22;184103,1;178933,46;0;0;5169,64;0;36331164,04;41774057,2;9044000;9044000;0;0;31610902,34;1808800;185042,38;29617059,96;0;0;0;0;0;1119154,86;0;0;908737,23;908737,23;0;0;0;0;0;42682794,43;79013958,47;;724;16
31/12/2016;C0016;0;0;3594537,06;0;0;1681017,76;0;0;1681017,76;0;0;0;1270731,91;0;642787,39;196237,64;0;446549,75;0;26468034,59;5642678,33;0;0;0;0;0;0;1075459,19;0;19749897,07;194796,31;4020,88;190775,43;0;0;866354,96;0;866354,96;0;0;0;0;0;0;31123722,92;11500262,32;2103542,37;2103542,37;0;0;7645420,05;420708,47;139417,26;7085294,32;0;0;0;0;0;1751299,9;0;0;391326,85;391326,85;0;0;0;0;0;11891589,17;43015312,09;;724;16
31/12/2017;C0016;0;0;3210814,89;0;0;1827069,63;0;154480,69;1672588,94;0;0;0;818067,05;0;565678,21;230106,52;0;335571,69;0;30324143,94;6249564,84;0;0;0;0;0;0;1012300,2;0;23062278,9;218386,27;4020,88;214365,39;0;0;1043147,45;148027,27;895120,18;0;0;0;0;0;0;34796492,55;13463148,95;2103542,37;2103542,37;0;0;9417570,33;420708,47;147616,46;8849245,4;0;0;0;0;0;1942036,25;0;0;546287,48;546287,48;0;0;0;0;0;14009436,43;48805928,98;;724;16
31/12/2018;C0016;0;0;4703974,53;0;0;1791698,16;0;133056,86;1658641,3;0;0;0;2402778,05;0;509498,32;233842,57;0;275655,75;0;33345711,67;6893357,09;0;0;0;0;0;0;833121,22;0;25619233,36;237290,5;4020,88;233269,62;0;0;1231176,99;390663,29;840513,7;0;0;0;0;0;0;39518153,69;13281274,5;2103542,37;2103542,37;0;0;11368926,78;420708,47;12776,1;10935442,21;2085736,76;0;0;0;0;1894542,11;0;0;138038,82;138038,82;0;0;0;0;0;13419313,32;52937467,01;;724;16
31/12/2019;C0016;0;0;4543667,78;0;0;2312985,75;0;156375,69;2156610,06;0;0;0;1640594,89;0;590087,14;313907,2;0;276179,94;0;41110724,83;9023629,92;0;0;0;0;0;0;921462,28;0;31165632,63;103,06;103,06;0;0;0;1478599,29;338061,53;1140537,76;0;0;0;0;0;0;47133094,96;16515062,62;2103542,37;2103542,37;0;0;13353735,87;420708,47;14989,55;12918037,85;985736,76;0;0;0;0;2043521,14;0;0;1395306,07;1395306,07;0;0;0;0;0;17910368,69;65043463,65;;724;16
31/12/2020;C0016;0;0;4372361,96;0;0;2779059,18;0;334873,76;2444185,42;0;0;0;903545,24;0;689757,54;273595,12;0;416162,42;0;46092876,22;9993791,78;0;0;0;0;0;0;1431027,87;0;34668056,57;21,06;21,06;0;0;0;1375392,84;136672,78;1238720,06;0;0;0;0;0;0;51840652,08;17377460,32;2103542,37;2103542,37;0;0;15531153,67;420708,47;167245,72;14943199,48;985736,76;0;0;0;0;888788,85;160287,81;0;1667810,73;1667810,73;0;0;0;0;0;19045271,05;70885923,13;;724;16
31/12/2021;C0016;0;0;5441012,68;0;0;2878583,25;0;345878,56;2532704,69;0;0;0;1700857,85;0;861571,58;387778,53;0;473793,05;0;50557239,42;10527210,55;0;0;0;0;0;0;1451162,9;0;38578865,97;163849,81;21,06;0;0;163828,75;1129358,11;124904,03;1004454,08;0;0;0;0;0;0;57291460,02;18467975,23;2103542,37;2103542,37;0;0;16532720,39;420708,47;184916,7;15927095,22;1196747,64;0;0;0;0;1212309,23;183849,12;0;1330825,17;1330825,17;0;0;0;0;0;19798800,4;77090260,42;;724;16
31/12/2016;C0026;0;0;39383435,25;0;4839242,5;11179345,25;668467,48;2394853,41;8116024,36;2543271,96;12412,05;0;0;0;20809163,49;4227513,01;2640329,67;13941320,81;0;1515396737;136911463,96;0;1172866315,33;6064541,63;0;1096022752,95;70779020,75;205488957,71;130000;0;10472731,73;0;7590658,2;0;2882073,53;74720852,7;7865396,24;66855456,46;6444398,36;2587412,48;3856985,88;0;0;0;1646418155,04;111301827,73;28008521,03;28008521,03;0;0;82251092,1;5601704,21;20527120;56122267,89;0;0;0;0;0;35351431,15;34309216,55;0;152534729;155311758,85;0;0;-2777029,85;0;0;263836556,73;1910254711,77;;724;16
