TRIMESTRE;CLAVE;RAMO;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;MONEDA;delegacion;TipoDec
31/12/2016;C0001;99;1;16611158,9;0;-58068,73;7161211,2;-2916105,13;0;-148997,47;6624771,31;0;;;;0;0;0;0;787976,3;0;9633532,29;0;4717424,72;1602042,98;0;519477,38;1032300,03;7030973,2;11372,17;0;0;0;4388597,28;190244,74;705033,01;3873809,01;;0;0;0;621180,64;621180,64;100299,91;0;22966,2;0;0;0;8550;131816,11;-4256403,52;787976,3;E;724;16
31/12/2017;C0001;99;1;23088054,85;0;-26208,63;4608047,6;-3882639,2;0;1013562,63;13557596,79;0;;;;0;0;0;1456546,51;2213025,94;0;12815978,49;0;4948352,65;3411407,26;0;887959,8;1306914;11697987,3;2625,93;0;0;0;4258557,33;671422,31;1080499,34;3849480,3;;0;0;-325400,28;985996,31;660596,03;123731,29;0,01;10274,22;0;0;0;342465,75;476471,27;-916538,1;756479,43;E;724;16
31/12/2018;C0001;99;1;18252789,84;0;-76550,33;2759173,49;3432032,01;0;959271,22;17889826,81;0;;;;0;2683,7;0;111128,51;469092,13;0;15623763,96;0;4066793,19;-1294451,23;0;-2861215,4;1195818,29;14319553,23;-34140,78;0;0;0;4027878,37;683715,04;153050,63;4558542,78;;249073,91;0;-141058,25;962185,13;1070200,79;83513,26;0;7187,21;0;0;0;199701,79;290402,26;-1845639,34;355279,92;E;724;16
31/12/2019;C0001;99;1;20569570,43;0;94954,61;3450667,83;2877334,46;0;250217,22;19840974,45;0;;;;0;69,2;0;1618,49;367945,65;67267,81;13847105,06;0;2072890,11;3258151,22;0;1965582,51;1164940,9;14231724,56;-3035,62;0;0;0;4071392,98;617095,49;237399,68;4451088,79;;81761,2;0;11264,46;870498,8;963524,46;71074,7;0;7039,69;0;0;0;165534,49;243648,88;389236,84;366257,96;E;724;16
31/12/2020;C0001;99;1;23611048,21;0;-42088,76;6983084,19;-2306048,1;0;-2250339,5;16530166,66;0;;;;0;-186,63;0;14897,87;147645,13;0;11079096,56;0;2487135,79;4302496,79;0;2950952,95;801665,84;10745170,45;0;0;0;0;4930139,84;501317,06;811184,2;4620272,7;;0;0;13140,89;786287,5;799428,39;62986,52;0;4343,71;0;0;0;166618,85;233949,08;278991,17;132933,89;E;724;16
31/12/2021;C0001;99;1;33472742,89;0;-39174,56;13098625,92;-1580475,88;0;-912576,11;19667042,64;0;;;;0;0;0;265761,21;355658,52;0;22133284,59;0;6898944,55;5785817,15;0;4335582,24;796359,19;17480934,14;0;0;0;0;6706799,68;77692,85;2955122,42;3829370,11;;0;0;560245,36;298207,82;858453,18;46035,04;0;844,85;0;340,04;285992,8;20504,41;353717,14;-2499773,41;89897,31;E;724;16
31/12/2016;C0002;99;1;33130170,95;0;787489,64;240805,38;6734,94;0;3752,99;33679837,16;0;;;;0;0;0;846187,46;1853462,15;81145,84;15229805,1;0;20259,09;773796,78;0;-15684,58;696227,39;16695254,76;4119801,66;0;0;0;7788756,56;4550266,81;20320,75;12318702,62;;1935524,75;0;0;335215,34;2270740,09;118616,81;0;17690,03;0;0;0;655568,12;791874,96;-581928,94;1007274,69;E;724;16
31/12/2017;C0002;99;1;32228843,33;0;-49013,91;232192,2;16270,35;0;10123,63;31953783,94;0;;;;0;0;0;2828171,36;3951620,21;85501,64;14693070,63;0;17588,18;-1024398,27;0;-135,64;580008,63;14231228,45;7270471,12;0;0;0;6058003,5;3955480,49;17436,7;9996047,29;;926480,93;0;0;353518,76;1279999,69;120393,59;0;23553,32;0;0;0;1299590,25;1443537,16;1769622,08;1123448,85;E;724;16
31/12/2018;C0002;99;1;31550873,33;0;516625,18;223058,5;5011,83;0;2751,19;31846700,65;0;;;;0;0;0;333147,84;1495565,68;74719,66;15173516,85;0;21426,74;61224,62;0;8373,08;549265,51;15754207,16;4698921,02;0;0;0;5704733,7;3807934,49;16396,72;9496271,47;;665305,05;0;0;1039523,39;1704828,44;120630,97;0;17177,72;0;0;0;159783,81;297592,5;1465165,4;1162417,84;E;724;16
31/12/2021;C0007;99;1;15045222,7;0;-6037,09;0;0;0;0;15039185,61;105070,89;;;;0;0;0;352219,44;696763,07;5443,06;5921973,23;0;0;154868,17;0;0;123061,83;6199903,23;808720,57;0;0;0;6816717,73;1104516,02;0;7921233,75;;0;0;0;490922,09;490922,09;17599,35;44091,58;-77,76;0;0;0;340657,43;402270,6;-81658,5;239472,74;E;724;16
31/12/2016;C0012;99;1;14161569,71;0;4893,44;894863,88;-156160,8;0;-79644,03;13195082,5;3177,72;;;;0;0;0;0;1070332,4;1560,67;6073680,86;0;392193,12;-15456,48;0;-18751,57;210704,75;5895487,58;1124748,07;0;0;0;4343844,12;1037857,93;203418,46;5178283,59;;261179,24;0;0;505659,85;766839,09;551312,27;0;634,97;0;0;0;0;551947,24;749670;1067154,68;E;724;16
31/12/2017;C0012;99;1;15053622,13;0;-3919,79;1001036,9;-90869,04;0;-78818,96;14036615,36;3531,62;;;;0;0;0;0;1060079,71;-346;6065570,97;0;448759,03;314312,83;0;52205,86;469170,88;6348089,79;-788331,44;0;0;0;5052728,02;728889,1;254204,19;5527412,93;;103897,4;0;0;551177,69;655075,09;638674,95;0;893,09;0;0;0;0;639568,04;2714534,66;1056548,09;E;724;16
31/12/2018;C0012;99;1;15606633,43;0;376,28;981208,13;-23846,38;0;-40557,82;14642513,02;0;;;;0;0;0;414066,58;1680923,42;0;6835405,33;0;555367,79;244966,39;0;97085,68;543573,39;6971491,64;1287822,45;0;0;0;4494037,79;647144,59;285714,33;4855468,05;;88991,91;0;0;688856,95;777848,86;867478,94;0;663,17;0;0;0;0;868142,11;1562663,33;1266856,84;E;724;16
31/12/2019;C0012;99;1;16248027,27;0;14896,35;1267835,24;-16138,73;0;-58836,26;15037785,91;3445,16;;;;0;0;0;309898,44;1521983,3;0;7091228,41;0;600000,13;-18399,03;0;19210,97;551319,4;7004937,68;1809879,72;0;0;0;4929632,07;566646,42;324202,46;5172076,03;;-4465;0;0;472069,62;467604,62;905500,31;0;385,23;0;0;0;0;905885,54;1199385,62;1208639,7;E;724;16
31/12/2020;C0012;99;1;16766246,39;0;-4359,47;1281450,39;-38187,8;0;-44378,39;15486627,12;3628,8;;;;0;0;0;212171,48;1214557,27;0;8346019,1;0;666235,37;393798,73;0;116832,14;602894,24;8559644,56;1804166,26;0;0;0;4548949,65;533995,75;360817,1;4722128,3;;0;0;0;493341,63;493341,63;766614,42;0;368,9;0;0;0;0;766983,32;354920,32;998756,99;E;724;16
31/12/2021;C0012;99;1;17015585,91;0;14499,32;1298329,79;-25858,46;0;-23915,16;15729812,14;3610,56;;;;0;0;0;20748,35;979064,2;0;7660048,7;0;640380,75;-224663,74;0;-54743,1;583112,31;7432859,62;2203731,42;0;0;0;4556535,33;542640,36;380857,23;4718318,46;;0;0;0;517981,39;517981,39;660535,55;0;387,37;0;0;0;478,9;661401,82;1174583,63;954705,29;E;724;16
31/12/2016;C0016;99;1;18538996,79;0;-2722,46;0;-1603026,06;0;0;16933248,27;5140,07;;;;0;0;0;26064,07;219240,26;2549;4765178,56;0;0;-6201,02;0;0;458851,96;5217829,5;1942100,74;0;0;0;5324516,88;1401321,51;0;6725838,39;;8491,48;0;0;232038,31;240529,79;0;92223;10119,43;667996,58;0;0;20554,84;790893,85;2237845,26;188036,12;E;724;16
31/12/2017;C0016;99;1;21598595,7;0;3489,2;0;-606886,51;0;0;20995198,39;5169,34;;;;284528,24;0;282,33;167515,81;686812,82;45187,14;6165672,5;0;0;-63158,99;0;0;496067,57;6598581,08;3312381,83;0;0;0;6915820,43;1797954,05;0;8713774,48;;2598,95;402925,8;0;264156,37;669681,12;0,94;89402,17;9960,66;11956,83;0;0;75354,09;186674,69;2246105,15;229317,1;E;724;16
31/12/2018;C0016;99;1;22462051,43;0;7021,24;0;-643792,25;0;0;21825280,42;5430,44;;;;0;0;0;0;295350,45;37450,19;6443001,66;0;0;-179178,98;0;0;500986,58;6764809,26;2556954,46;0;0;0;7611433,49;2058401,27;0;9669834,76;;-12499,92;106573,93;0;321891,51;415965,52;43,49;122971,5;8342,09;0;0;0;724,39;132081,47;2618435,59;289920,01;E;724;16
31/12/2019;C0016;99;1;25349926,79;0;-4649,59;0;-2041046,52;0;0;23304230,68;5761,68;;;;156163,21;0;0;8948,36;586610,88;23789,62;6470402,15;0;0;88341,06;0;0;459849,1;7018592,31;3095271,06;0;0;0;8586646,99;2080759,67;0;10667406,66;;34814,41;106573,92;0;271551,43;412939,76;631,27;149448,1;8548,26;50244,45;0;0;0;208872,08;2511549,31;415737,63;E;724;16
31/12/2020;C0016;99;1;26103145,61;0;5678,8;0;-970161,86;0;0;25138662,55;5899,99;;;;0;0;0;7068,09;481215,09;14197,6;7468166,1;0;0;509565,62;0;0;564320,02;8542051,74;3502423,94;0;0;0;9748486,69;2103421,43;0;11851908,12;;-3292,1;103223,89;0;271806,69;371738,48;1285,23;218972,38;11616,25;0;0;0;56675,75;288549,61;1077403,35;468247,01;E;724;16
31/12/2021;C0016;99;1;28103937,2;0;-29081;0;-533418,77;0;0;27541437,43;5966,56;;;;91976,42;0;46622,42;86356,3;687162,37;8852,29;8362961,75;0;0;20135;0;0;664929,42;9048026,17;3910809,4;0;0;0;10549675,85;2051665,07;0;12601340,92;;16051,18;44134,2;0;266017,08;326202,46;21227,89;202886,3;11578,6;294646,7;0;1077,89;24890,23;556307,61;1794765,53;456240,67;E;724;16
31/12/2016;C0026;99;1;315869102,75;645409,99;-170445,82;41061972,95;-12022026,24;-2292,14;-2166568,44;265424344,03;1478873,18;;;;0;0;0;177935,49;9527590,2;0;162566975,54;343083,63;19206893,21;6382437,28;-187262,66;2336496,37;8764193,98;156326038,19;0;0;0;0;74520209,05;12893521,86;10499918,71;76913812,2;;21527,13;0;-39513,6;2100276;2082289,53;1281573,54;820762,88;361463,78;0;1085443,36;0;2084250,38;5633493,94;33996300,37;7870781,53;E;724;16
31/12/2017;C0026;99;1;329519761,79;739238,23;-126176,59;43395013,05;-5118044,21;-58,45;-1253306,66;282873014,38;1529353,46;;;;0;0;24138600,38;4662,38;33559478,88;0;179026438,98;279219,1;23127048,07;13582065,71;377,14;6675676,03;8725807,8;171811184,63;150198,8;0;0;0;78274369,3;12448013,48;11457277,34;79265105,44;;210,75;0;-21873,6;2107356,89;2085694,04;1323092,47;691146,45;825568,69;0;2928381,58;2055171,05;0;7823360,24;55296950,11;7886862,66;E;724;16
31/12/2018;C0026;99;1;337897579,63;713620,19;-19198,25;44993222,75;-3204518,05;3463,52;-280188,28;290677912,57;974663,56;;;;0;0;0;5748137,89;13525244,8;0;193769026,44;285534,82;25242777,25;-5135533,19;9325,42;-5605407,19;8256223,42;177547206,85;77272,11;135883,23;-135883,23;0;79890986,24;14542519,16;12297400,02;82136105,38;;19800,73;0;126655,2;2134920,78;2281376,71;931126,41;662778,24;753581,86;0;0;0;744733,57;3092220,08;39068976,24;6802443,35;E;724;16
31/12/2019;C0026;99;1;346789416,2;744517,32;-83513,89;49959656,02;-6005084,09;-39927,8;-1558552,99;293004304,71;1524831,56;;;;0;0;0;860476,7;8099945,1;0;196163728,86;230186,91;24895765,77;-5228653,32;2919,52;-233577,09;9166922,7;175672915,99;-166831,97;190651,14;-140429,54;50221,6;80553086,08;15301348;13516175,17;82338258,91;;18655,56;0;989569,2;2217282,49;3225507,25;621065,21;635132,48;1059385,36;0;121169,66;0;1309849,75;3746602,46;36237575,57;5714636,84;E;724;16
