TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT55;PT32;PT33;PT34;PT35;PT36;PT37;PT38;PT39;PT40;PT41;PT42;PT43;PT44;PT45;PT46;PT47;PT48;PT49;PT50;PT51;PT52;PT53;PT54;PT56;PT57;PT58;MONEDA;delegacion;TipoDec
31/12/2016;C0026;1;210628483,32;0;-37411,08;664680,91;-379903,48;0;-12386,94;209558874,79;2217099,09;;;;191059,25;0;0;3014322,32;54438464,36;;0;151168838,37;0;282099,93;4778619,72;0;-97484,62;108340,45;155871183,23;66344458,56;0;0;-1136795,85;0;65207662,71;132748,75;-335000;-202251,25;16953316,93;;3420778,64;440084,41;19934011,16;3075,31;0;788453,34;791528,65;4933450,63;329114,35;1055121,48;0;3501027,88;0;1877498,31;11696212,65;;11091314,48;49015983,7;13037891,69;12645569,21;E;724;16
31/12/2017;C0026;1;182785192,83;0;1058,24;596772,97;-364877,28;0;-38456,19;181863057,01;2366339,74;;;;0;0;0;463764,28;47309099,09;;0;177488533,86;0;196026,73;-800060,64;0;-6435,95;81872,31;176580754,75;17315919,92;0;0;578166,4;0;17894086,32;129759,91;-40000;89759,91;16512562,63;;3515941,72;501176,83;19527327,52;30,1;0;44102,87;44132,97;5475389,56;831051,73;668460,34;0;582413,33;0;1999280,69;9556595,65;;10338057,27;44478995,07;11284001,71;6425443,42;E;724;16
31/12/2018;C0026;1;169195381,24;0;63084,38;594543,35;-237702,73;0;2612,44;168423607,1;2485398,71;;;;0;0;0;4680147,79;49767053,4;;1124900,99;169335439,43;0;426742,01;-1309561,68;0;-750045,26;90939,37;168440120,37;2519073,9;0;0;-2219443,28;0;299630,62;211219,5;-70000;141219,5;16096367,98;;3213381,2;164517,68;19145231,5;2842,88;0;501244,43;504087,31;5773254,83;429731,47;687327,29;0;748372,53;0;1322160,7;8960846,82;;15644313,66;42601506,9;8238964,93;14419076,64;E;724;16
31/12/2019;C0026;1;172465067,82;0;-6431,1;663342,6;-431709,26;0;-25792,24;171389377,1;2404537,64;;;;0;0;0;42103,4;44044019,46;;-1064164,63;157528567,3;0;473120,75;1372781,19;0;-194940,01;90484,85;158713652,6;7350129,69;0;0;15689525,68;0;23039655,37;95089,81;0;95089,81;17053224,41;;3335549,28;200871,06;20187902,63;2665,21;0;515789,66;518454,87;5389928,5;509760,76;682511,64;0;344848,67;0;1233105,89;8160155,46;;13424892,03;41597378,42;13939747,91;4169177,07;E;724;16
31/12/2020;C0026;1;164645987,84;0;11946,24;606803,05;-248281,06;0;21303,36;163781546,61;2009581,28;;;;0;0;1365100,96;56544,11;41426167,14;;527742,61;156404131,52;0;281086,1;1146304,65;0;44120,87;109915,83;157335145,03;-10652770,84;0;0;12343524,79;0;1690753,95;136502,41;65318,32;201820,73;16119384,32;;3380674,03;204264,29;19295794,06;-565,9;0;440499,49;439933,59;5252127,72;453136,5;678047,67;0;0;169149,39;2104213,59;8656674,87;;13928171,26;37994940,79;15626409,77;19813572,64;E;724;16
31/12/2021;C0026;1;163092836,7;0;-16692,49;644795,12;-293595,91;0;-16661,63;162154414,81;2588385,13;;;;0;0;0;0,01;39582930,29;;393682,93;161868274,52;0;370050,4;-1239601,25;0;-41612,98;174601,49;160474837,34;-19509197,96;0;0;30666769,89;0;11157571,93;64952,44;-75318,32;-10365,88;17099039,17;;3720227,56;183991,11;20635275,62;6,89;0;343949,63;343956,52;4777436,98;591148;690028,55;0;652260,37;0;24,1;6710898;;15748772,41;36994545,15;21502938,93;8573021,02;E;724;16
31/12/2016;C0031;1;317170024,96;12153818,96;-2195123,31;9355291,14;1055581,8;765906,43;393521,23;319201396,47;0;;;;0;829085,82;0;25480843,11;182768851,74;;3048403,2;521096702,97;8255474,74;4930179,53;-6209217,71;1321592,65;1562729,87;825516,7;518797159,95;-101956851,78;0;0;-3733600,74;0;-105690452,52;10763610,15;-1178831,85;9584778,3;20940063,77;;6247550,14;334764,44;26852849,47;6389,91;0;480700,83;487090,74;13385795,86;2737927,39;223005,55;0;23396770,91;0;6701373,08;46444872,79;;8594680,97;156458922,81;1233570,32;1181242,03;E;724;16
31/12/2019;C0031;1;375919798,91;10917924,08;475121,4;8434065,79;445035,34;25504,32;12655,38;379336662,88;0;;;;0;0;0;11579938,22;143703638,78;;0;519733158,7;4732537,06;4752597,28;640045,25;-946297,76;-384995,86;2202629,04;521994470,87;-122528584,57;0;0;60908122,47;0;-61620462,1;10487709,2;-1344091,64;9143617,56;23917986,31;;7695581,14;881835,33;30731732,12;-7308,72;0;441437,61;434128,89;15601878,4;2854062,9;427047,37;0;106724,83;0;5211714,62;24201428,12;;5004798,9;132123700,56;30161246,81;23311834,11;E;724;16
31/12/2020;C0031;1;296000932,11;11143650,23;-12913,16;9391558,77;688392,76;168677,47;50158,44;298547022,2;0;;;;0;0;0;23126538,56;146746240,27;;0;554794278,65;4827674,37;4313411,57;-1303709,05;665544,51;-94497,45;2138973,74;556903848,1;-138757019,59;0;0;7084537,46;0;-131672482,13;8833337,14;6989976,68;15823313,82;23720420,86;;7006242,34;1455118,42;29271544,78;-4634,48;0;431622,8;426988,32;16769873,12;3673124,11;422734,52;0;1283446,96;0;2806987,29;24956166;;-49827864,68;123619701,71;63343909,06;62755657,32;E;724;16
31/12/2021;C0031;1;338172356,03;10139255,53;-131946,56;8230359,03;-1021845,05;-41932,23;-468060,47;339353589,16;0;;;;0;0;0;10709352,28;130712494,09;;0;480908744,52;6218288,52;4496763,77;17596189,62;760455,79;885106,73;2110488,78;502212296,73;-134564555,1;0;0;43814648,83;0;-90749906,27;5618839,95;-2976614,74;2642225,21;25409806,72;;6777624,29;843756,31;31343674,7;-2205,15;106226,43;703417,92;807439,2;19831855,52;3090243,8;423902,46;0;0;0;2185708,55;25531710,33;;6733091,05;120003141,81;57752998,84;49298551,14;E;724;16
