TRIMESTRE;CLAVE;operacion;PT1;PT2;PT3;PT4;PT5;PT6;PT7;PT8;PT9;PT10;PT11;PT12;PT13;PT14;PT15;PT16;PT17;PT18;PT19;PT20;PT21;PT22;PT23;PT24;PT25;PT26;PT27;PT28;PT29;PT30;PT31;PT32;PT33;PT34;MONEDA;delegacion;TipoDec
31/12/2016;C0001;1;-4256403,52;0;0;;;;0;0;43340,91;0;43340,91;0;0;0;0;0;46530,17;0;46530,17;18831,89;1120677,32;;;-1336492,15;2331797,45;0;0;18831,89;0;1120677,32;-1105034,69;-5361438,21;-4024946,06;6356743,51;E;724;16
31/12/2017;C0001;1;-916538,1;0;0;;;;0;0;0;0;723,07;0;0;0;0;0;0;0;0;2767,43;379870,7;;;0;-970818,07;723,07;0;2767,43;0;379870,7;-376380,2;-1292918,3;-1292918,3;322100,23;E;724;16
31/12/2018;C0001;1;-1845639,34;0;0;;;;0;0;0;0;446,71;0;0;0;0;0;0;0;0;1444883,92;1837107,74;;;805437,09;-3042853,54;446,71;0;1444883,92;0;1837107,74;-391777,11;-2237416,45;-3042853,54;0;E;724;16
31/12/2019;C0001;1;389236,84;0;0;;;;0;0;0;0;165,37;0;0;0;0;0;0;0;0;12470,02;198157,61;;;152051,76;51662,86;165,37;0;12470,02;0;198157,61;-185522,22;203714,62;51662,86;0;E;724;16
31/12/2020;C0001;1;278991,17;0;0;;;;0;0;0;0;5,95;0;0;0;0;0;0;0;0;10423,12;253343,67;;;-68491,25;-84233,47;5,95;0;10423,12;0;253343,67;-242914,6;36076,57;104567,82;-188801,29;E;724;16
31/12/2021;C0001;1;-2499773,41;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;56005,28;128246,51;;;-832886,59;-2100953,44;0;0;56005,28;0;128246,51;-72241,23;-2572014,64;-1739128,05;-361825,39;E;724;16
31/12/2016;C0002;1;-581928,94;0;43737,22;;;;0;0;0;0;43737,22;0;0;6692,58;0;0;0;0;6692,58;13677,74;222682,54;;;1276690,45;-2030579,55;0;0;13677,74;0;222682,54;-171960,16;-753889,1;-2030579,55;0;E;724;16
31/12/2017;C0002;1;1769622,08;0;43422,26;;;;0;0;0;0;43422,26;0;0;6146,28;0;0;0;0;6146,28;37616,04;185731,69;;;160142,65;1498639,76;0;0;37616,04;0;185731,69;-110839,67;1658782,41;1498639,76;0;E;724;16
31/12/2018;C0002;1;1465165,4;0;45471,02;;;;0;0;0;0;45471,02;0;0;5206,83;0;0;0;0;5206,83;18752,96;167915,17;;;89066,85;1267200,53;0;0;18752,96;0;167915,17;-108898,02;1356267,38;1267200,53;0;E;724;16
31/12/2019;C0002;1;1763845,08;0;44942,54;;;;23355,39;0;0;0;68297,93;0;0;4981,7;33611,96;0;0;0;38593,66;6075,87;181511,34;;;154528,47;1463585,41;0;0;6075,87;0;181511,34;-145731,2;1618113,88;1463585,41;0;E;724;16
31/12/2020;C0002;1;2897401,84;0;45588,28;;;;0;0;0;0;45588,28;0;0;5148,44;0;0;0;0;5148,44;17020,18;226349,98;;;433152,37;2295359,51;0;0;17020,18;0;226349,98;-168889,96;2728511,88;2295359,51;0;E;724;16
31/12/2021;C0002;1;5748,98;0;44363,38;;;;0;0;0;0;44363,38;0;0;4820,32;0;0;0;0;4820,32;15837,06;204775,03;;;0;-143645,93;0;0;15837,06;0;204775,03;-149394,91;-143645,93;-143645,93;0;E;724;16
31/12/2024;C0046;4;1172973;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-260873;;;301956;1131890;0;0;0;0;-260873;260873;1433846;1131890;0;E;124;16
31/12/2024;C0046;4;23144069;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;338076;160237;;;2649696;20672212;0;0;338076;0;160237;177839;23321908;20672212;0;E;344;16
31/12/2024;C0046;4;2663800;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-14492;;;797614;1880678;0;0;0;0;-14492;14492;2678292;1880678;0;E;392;16
31/12/2024;C0046;4;2582994;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12451;;;677227;1918218;0;0;0;0;-12451;12451;2595445;1918218;0;E;554;16
31/12/2024;C0046;4;9413262;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9683088;;;3385025;15711325;0;0;0;0;-9683088;9683088;19096350;15711325;0;E;702;16
31/12/2024;C0046;2;-493451;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;-98051;-395400;0;0;0;0;0;0;-493451;-395400;0;E;705;16
31/12/2024;C0046;4;48976436;0;0;;;;0;0;0;0;8447;0;0;0;0;0;2710115;521569;3231684;-4401;-618433;;;12273991;34093240;8447;0;-4401;0;-618433;-2609205;46367231;34093240;0;E;826;16
31/12/2024;C0046;4;758685;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;512;135194;;;827562;-203559;0;0;512;0;135194;-134682;624003;-203559;0;E;792;16
31/12/2024;C0046;1;401013854,03;0;0;;;;41571863;0;0;0;48193458;0;0;0;0;0;2689786;3958193;6647979;24141674;4969634;;;112414030;349317343,03;6621595;0;24141674;0;4969634;60717519;461731373,03;349317343,03;0;E;724;16
31/12/2024;C0046;4;25779019,98;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;-1867;1606565;;;5204166;18966421,98;0;0;-1867;0;1606565;-1608432;24170587,98;18966421,98;0;E;756;16
31/12/2024;C0046;2;-1821605;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-430515;;;209761;-1600851;0;0;0;0;-430515;430515;-1391090;-1600851;0;E;40;16
31/12/2024;C0046;2;547756;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-101071;;;140154;508673;0;0;0;0;-101071;101071;648827;508673;0;E;703;16
31/12/2024;C0046;2;4350266;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;-528;-432355;;;1065789;3716304;0;0;-528;0;-432355;431827;4782093;3716304;0;E;300;16
31/12/2024;C0046;2;46163149;0;0;;;;0;0;0;0;0;0;0;0;0;0;-8884;0;-8884;-6443;-3286569;;;16497224;32954935;0;0;-6443;0;-3286569;3289010;49452159;32954935;0;E;276;16
31/12/2024;C0046;2;4270939;0;0;;;;0;0;0;0;0;0;0;0;0;0;202;0;202;52;-194753;;;968514;3497028;0;0;52;0;-194753;194603;4465542;3497028;0;E;203;16
31/12/2024;C0046;2;9483400;0;0;;;;0;0;0;0;0;0;0;0;0;0;-1;0;-1;10523;-2354183;;;3035746;8812361;0;0;10523;0;-2354183;2364707;11848107;8812361;0;E;250;16
31/12/2024;C0046;2;7368624;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-122630;;;1510833;5980421;0;0;0;0;-122630;122630;7491254;5980421;0;E;246;16
31/12/2024;C0046;2;-5957582;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2888752;;;-315895;-2752935;0;0;0;0;-2888752;2888752;-3068830;-2752935;0;E;208;16
31/12/2024;C0046;2;-875457;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-101454;;;0;-774003;0;0;0;0;-101454;101454;-774003;-774003;0;E;100;16
