Periodo;Clave;NOMBRE;LEI;URL divulgación ISFS;URL descarga ISFS
31/12/2024;C0001  ;ASEGURADORES AGRUPADOS S.A. DE SEGUROS;9598003REPS2DQZC4946;HTTPS://WWW.DIVINASEGUROS.COM/CORPORATIVO/GOBIERNO-CORPORATIVO;https://www.divinaseguros.com/doc/zE4
31/12/2024;C0002  ;LA ALIANZA ESPAÑOLA S.A. DE SEGUROS;9598007S1Q7FKMLC0D44;HTTPS://WWW.ALIANZAESP.ES/QUIENES-SOMOS;HTTPS://WWW.ALIANZAESP.ES/PDF/INFORME%20SOBRE%20LA%20SITUACION%20FINANCIERA%20Y%20DE%20SOLVENCIA%20DE%202024.PDF
31/12/2024;C0007  ;FAMILIAR DE SEGUROS ACTIVE SA;959800YWW2JCU3254E20;https://www.activeseguros.com/quienes-somos.html;https://www.activeseguros.com/informacion-util.html
31/12/2024;C0012  ;ETERNA ASEGURADORA,S.A. COMPAÑIA DE SEGUROS Y REASEGUROS SOCIEDAD UNIPERSONAL;959800FRUEW09QGRX823;https://www.eterna-aseguradora.es/es/sobre-eterna/informacion-corporativa/datos-economicos;https://www.eterna-aseguradora.es/wcm/connect/www.eterna-aseguradora.es-26829/0631d932-6520-4bb2-8f12-4d7b9d0604c7/Informe_solvencia_Eterna_Aseguradora.pdf?MOD=AJPERES&CVID=poh1S3g
31/12/2024;C0016  ;AURA S.A. DE SEGUROS;9598006T82YN2LPQY896;https://www.auraseguros.com/web/guest/informacion-corporativa;https://www.auraseguros.com/web/guest/informacion-corporativa
31/12/2024;C0031  ;CASER - CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.;95980020140005375044;https://www.caser.es/conocenos/informacion-legal;https://www.caser.es/documents/473773/15909925/CASER_ISFS_24.pdf
31/12/2024;C0037  ;SANTANDER SEGUROS Y REASEGUROS,COMPAÑIA ASEGURADORA S.A.;95980020140005490280;https://www.santanderseguros.es/san/ssr/sobre-nosotros/informacion-financiera-y-de-solvencia;https://www.santanderseguros.es/san/wcm/connect/www.santanderseguros.es22354/f604a3cd-1f13-40fa-9688-764274ea9dee/Informe+Situaci%C3%B3n+Financiera+y+Solvencia+2024.pdf?MOD=AJPERES&CVID=
31/12/2024;C0039  ;ZURICH VIDA COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;549300OVMBOL2UDDC705;https://www.zurich.es/CONOCENOS;https://www.zurich.es/documents/877376/311932640/situacionFinanciera-ZurichVida2023.pdf/
31/12/2024;C0046  ;ATRADIUS CREDITO Y CAUCION SA DE SEGUROS Y REASEGUROS;9598002U9BK2VP1RTG14;https://www.creditoycaucion.es/es/aviso-legal;https://www.creditoycaucion.es/dam/jcr:e8a737e8-1f3b-4c5e-8cbc-738604a2705d/SFCR-2024.pdf
31/12/2024;C0058  ;MAPFRE ESPAÑA, COMPAÑIA DE SEGUROS Y REASEGUROS S.A.;959800M5S8EHVXWG6P95;HTTPS://WWW.MAPFRE.COM/SOLVENCIA/;https://www.mapfre.com/media/accionistas/2023/2022-sfcr-mapfre-espana.pdf
