Periodo;Clave;R0500C0010;R0500C0020;R0500C0030;R0500C0040;R0500C0050;R0510C0010;R0510C0020;R0510C0030;R0510C0040;R0540C0010;R0540C0020;R0540C0030;R0540C0040;R0540C0050;R0550C0010;R0550C0020;R0550C0030;R0550C0040;R0580C0010;R0600C0010;R0620C0010;R0640C0010
31/12/2016;C0001  ;11282022,45;11282022,45;0;0;0;11282022,45;11282022,45;0;0;11282022,45;11282022,45;0;0;0;11282022,45;11282022,45;0;0;2067280,69;3700000;5,457422;3,049195
31/12/2017;C0001  ;7518463,99;7518463,99;0;0;0;7518463,99;7518463,99;0;0;7518463,99;7518463,99;0;0;0;7518463,99;7518463,99;0;0;5598843,81;3700000;1,34286;2,032017
31/12/2018;C0001  ;5614771,67;5466441,31;0;0;148330,36;5466441,31;5466441,31;0;0;5614771,67;5466441,31;0;0;148330,36;5466441,31;5466441,31;0;0;6882820,72;3700000;0,815766;1,477417
31/12/2019;C0001  ;9016053,63;9016053,63;0;0;0;9016053,63;9016053,63;0;0;9016053,63;9016053,63;0;0;0;9016053,63;9016053,63;0;0;7438069,51;3700000;1,21215;2,436771
31/12/2020;C0001  ;8213030,73;8213030,73;0;0;0;8213030,73;8213030,73;0;0;8213030,73;8213030,73;0;0;0;8213030,73;8213030,73;0;0;8089309,43;3700000;1,015294;2,219738
31/12/2021;C0001  ;14016946,16;14016946,16;0;0;0;14016946,16;14016946,16;0;0;14016946,16;14016946,16;0;0;0;14016946,16;14016946,16;0;0;9958666,57;3700000;1,407512;3,788364
31/12/2016;C0002  ;83608054,65;83608054,65;0;0;0;83608054,65;83608054,65;0;0;83608054,65;83608054,65;0;0;0;83608054,65;83608054,65;0;0;42341599,16;10585399,79;1,974608;7,898431
31/12/2017;C0002  ;72116729,26;72116729,26;0;0;0;72116729,26;72116729,26;0;0;72116729,26;72116729,26;0;0;0;72116729,26;72116729,26;0;0;41085338,16;10271334,54;1,755291;7,021164
31/12/2018;C0002  ;71695721,99;71695721,99;0;0;0;71695721,99;71695721,99;0;0;71695721,99;71695721,99;0;0;0;71695721,99;71695721,99;0;0;61563104,06;15390776,02;1,164589;4,658357
31/12/2019;C0002  ;95922106,67;95922106,67;0;0;0;95922106,67;95922106,67;0;0;95922106,67;95922106,67;0;0;0;95922106,67;95922106,67;0;0;49670851,85;12417712,96;1,931155;7,724619
31/12/2020;C0002  ;117638651,34;117638651,34;0;0;0;117638651,34;117638651,34;0;0;117638651,34;117638651,34;0;0;0;117638651,34;117638651,34;0;0;48011224,3;12002806,08;2,450232;9,800929
31/12/2021;C0002  ;116774216,16;116774216,16;0;0;0;116774216,16;116774216,16;0;0;116774216,16;116774216,16;0;0;0;116774216,16;116774216,16;0;0;54226138,16;13556534,54;2,153467;8,613869
31/12/2016;C0007  ;5879871,69;5879871,69;0;0;0;5879871,69;5879871,69;0;0;5879871,69;5879871,69;0;0;0;5879871,69;5879871,69;0;0;5185395,19;2500000;1,133929;2,351949
31/12/2017;C0007  ;5838732,88;5838732,88;0;0;0;5838732,88;5838732,88;0;0;5838732,88;5838732,88;0;0;0;5838732,88;5838732,88;0;0;5053468,19;3700000;1,155391;1,578036
31/12/2018;C0007  ;5459665,99;5459665,99;0;0;0;5459665,99;5459665,99;0;0;5459665,99;5459665,99;0;0;0;5459665,99;5459665,99;0;0;4784176,39;3700000;1,141192;1,475585
31/12/2019;C0007  ;6359666,72;6359666,72;0;0;0;6359666,72;6359666,72;0;0;6359666,72;6359666,72;0;0;0;6359666,72;6359666,72;0;0;6004176,44;3700000;1,059207;1,718829
31/12/2024;C0075  ;81159712,74;81159712,74;0;0;0;81159712,74;81159712,74;0;0;81159712,74;81159712,74;0;0;0;81159712,74;81159712,74;0;0;31868884,98;7967221,24;2,546676;10,186703
31/12/2024;C0089  ;203472979,63;203472979,63;0;0;0;203472979,63;203472979,63;0;0;203472979,63;203472979,63;0;0;0;203472979,63;203472979,63;0;0;66837505,55;22168946,53;3,044293;9,178288
31/12/2024;C0109  ;828419604,44;828419604,44;0;0;0;828419604,44;828419604,44;0;0;828419604,44;828419604,44;0;0;0;828419604,44;828419604,44;0;0;628080496,86;282636223,59;1,31897;2,931045
31/12/2024;C0120  ;48436854,13;48436854,13;0;0;0;48436854,13;48436854,13;0;0;48436854,13;48436854,13;0;0;0;48436854,13;48436854,13;0;0;4210371,36;4000000;11,504176;12,109214
31/12/2024;C0124  ;1191940632,74;1167198547,52;0;0;24742085,22;1167198547,52;1167198547,52;0;0;1191940632,74;1167198547,52;0;0;24742085,22;1167198547,52;1167198547,52;0;0;683218382,27;306712478,36;1,744597;3,805514
31/12/2024;C0133  ;1569423922,36;1569423922,36;0;0;0;1569423922,36;1569423922,36;0;0;1569423922,36;1569423922,36;0;0;0;1569423922,36;1569423922,36;0;0;477261646,94;123208315,12;3,288393;12,737971
31/12/2024;C0139  ;116338292,33;116338292,33;0;0;0;116338292,33;116338292,33;0;0;116338292,33;116338292,33;0;0;0;116338292,33;116338292,33;0;0;30531677,46;8448490,79;3,810413;13,770305
31/12/2024;C0140  ;551179671,42;551179671,42;0;0;0;551179671,42;551179671,42;0;0;551179671,42;551179671,42;0;0;0;551179671,42;551179671,42;0;0;238405017,1;107282257,7;2,311947;5,137659
31/12/2024;C0155  ;237592950,78;237592950,78;0;0;0;237592950,78;237592950,78;0;0;237592950,78;237592950,78;0;0;0;237592950,78;237592950,78;0;0;68848914,29;17212228,57;3,450932;13,80373
