CLAVE;NOMBRE;ORDEN
1;ALAVA;1
2;ALBACETE;2
3;ALICANTE;3
4;ALMERIA;4
5;AVILA;5
6;BADAJOZ;6
7;ILLES BALEARS;7
8;BARCELONA;8
9;BURGOS;9
10;CACERES;10
11;CADIZ;11
12;CASTELLON DE LA PLANA;12
13;CIUDAD REAL;13
14;CORDOBA;14
15;CORUÑA, A;15
16;CUENCA;16
17;GIRONA;17
18;GRANADA;18
19;GUADALAJARA;19
20;GUIPUZCOA;20
21;HUELVA;21
22;HUESCA;22
23;JAEN;23
24;LEON;24
25;LLEIDA;25
26;RIOJA, LA;26
27;LUGO;27
28;MADRID;28
29;MALAGA;29
30;MURCIA;30
31;NAVARRA;31
32;OURENSE;32
33;ASTURIAS;33
34;PALENCIA;34
35;PALMAS, LAS;35
36;PONTEVEDRA;36
37;SALAMANCA;37
38;SANTA CRUZ DE TENERIFE;38
39;CANTABRIA;39
40;SEGOVIA;40
41;SEVILLA;41
42;SORIA;42
43;TARRAGONA;43
44;TERUEL;44
45;TOLEDO;45
46;VALENCIA;46
47;VALLADOLID;47
48;VIZCAYA;48
49;ZAMORA;49
50;ZARAGOZA;50
51;CEUTA;51
52;MELILLA;52
